id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
1534178,28210,Служба  регулирования и надзора за финансовым рынком при Министерстве экономики и коммерции Кыргызской Республики (аппарат),,96806,true,1,249b90f2-92a5-48c0-95ac-e35ea80ab388,import,2023-01-12,import,2023-01-12
96810,28220,Служба  регулирования и надзора за финансовым рынком при Министерстве экономики и коммерции Кыргызской Республики (подведомственные учреждения),,96806,true,1,3dd9d89d-89bc-4e37-877d-7891dd967aa8,import,2023-01-12,import,2023-01-12
1534179,28310,Служба антимонопольного регулирования при Министерстве экономики и коммерции Кыргызской Республики (аппарат),,96806,true,1,03dfea4a-a048-4cc5-987c-33f1efa5f807,import,2023-01-12,import,2023-01-12
96811,28320,Служба антимонопольного регулирования при Министерстве экономики и коммерции Кыргызской Республики (территориальные органы),,96806,true,1,477bd28a-5d12-4ada-bdbf-4678ab0c4393,import,2023-01-12,import,2023-01-12
96812,28420,Департамент по делам банкротства при Министерстве экономики и коммерции Кыргызской Республики,,96806,true,1,b7ab6ef9-b2d6-45e4-9a41-724cfe9e413f,import,2023-01-12,import,2023-01-12
526027,28520,Государственное учреждение «Центр государственно-частного партнерства» при Министерстве экономики и коммерции Кыргызской Республики,,96806,true,1,6c171e56-8f0a-4165-9f81-8fa1cd2743b3,import,2023-01-12,import,2023-01-12
96813,28620,Фонд по управлению государственным имуществом при Министерстве экономики и коммерции Кыргызской Республики ,,96806,true,1,a1947826-41f9-4aec-87c6-17b7a06dacc2,import,2023-01-12,import,2023-01-12
1534180,28630,Государственное учреждение «Аукционный центр» при Фонде по управлению государственным имуществом при  Министерстве экономики и коммерции Кыргызской Республики ,,96806,true,1,3aede03f-244b-419d-9571-21a7f9eff10a,import,2023-01-12,import,2023-01-12
540823,28720,Государственное учреждение «Центр по развитию халал-индустрии» при Министерстве экономики и коммерции Кыргызской Республики ,,96806,true,1,aa002e4f-91e9-49ac-9220-2c6f6b6c16d7,import,2023-01-12,import,2023-01-12
96814,28910,Министерство экономики и коммерции Кыргызской Республики  (софинансирование),,96806,true,1,ce18e06f-28a5-45e7-8bc9-483dce7da808,import,2023-01-12,import,2023-01-12
96815,28920,Министерство экономики и коммерции Кыргызской Республики  (грант),,96806,true,1,ccc41d0a-9388-4a76-9c86-3cb5dbf6b206,import,2023-01-12,import,2023-01-12
96816,28930,Министерство экономики и коммерции Кыргызской Республики  (кредит),,96806,true,1,56909056-022d-4213-be49-347867a8905d,import,2023-01-12,import,2023-01-12
96951,29,Институт исследований экономической политики Кыргызской Республики,,,true,1,41ecb98f-52bf-4e54-98e8-10446bb14187,import,2023-01-12,import,2023-01-12
1534414,29120,Институт исследований экономической политики Кыргызской Республики,,96951,true,1,046f5d65-cc06-4171-af6a-cd189900faed,import,2023-01-12,import,2023-01-12
96817,30,Министерство обороны Кыргызской Республики,,,true,1,215d15a1-6dd5-411c-b289-9c64726df390,import,2023-01-12,import,2023-01-12
96818,30110,Министерство обороны Кыргызской Республики (аппарат),,96817,true,1,af7587e9-dae6-47f3-a275-7b33719fc85a,import,2023-01-12,import,2023-01-12
96819,30120,Министерство обороны Кыргызской Республики (подведомственные учреждения),,96817,true,1,f83bf3ad-bd44-4b84-8dd8-0a09a64606f9,import,2023-01-12,import,2023-01-12
1963417,31,Министерство здравоохранения и социального развития Кыргызской Республики,,,true,1,21f727a2-b5e8-4fa6-b8ba-99dfa90613c2,import,2023-01-12,import,2023-01-12
1963466,31110,Министерство здравоохранения и социального развития Кыргызской Республики (аппарат),,1963417,true,1,f152203f-7c30-4eb4-af36-e28f54a6a9cc,import,2023-01-12,import,2023-01-12
1963467,31121,Министерство здравоохранения и социального развития Кыргызской Республики (подведомственные учреждения),,1963417,true,1,0ef71a31-6425-41e5-aa2e-906953bf811c,import,2023-01-12,import,2023-01-12
1963471,31131,Министерство здравоохранения и социального развития Кыргызской Республики (мероприятия по борьбе с эпидемиями),,1963417,true,1,d58e57da-71a3-4a2c-a76c-f034eb4b3117,import,2023-01-12,import,2023-01-12
1963468,31911,Министерство здравоохранения и социального развития Кыргызской Республики (софинансирование),,1963417,true,1,beec2c2f-cd57-4e4e-a1df-26de58cf9d52,import,2023-01-12,import,2023-01-12
1963469,31921,Министерство здравоохранения и социального развития Кыргызской Республики (грант),,1963417,true,1,0e6c1aa0-bf61-4fa0-8f16-f51bcd2fb83b,import,2023-01-12,import,2023-01-12
1963470,31931,Министерство здравоохранения и социального развития Кыргызской Республики (кредит),,1963417,true,1,2e8caf85-6333-4c9e-9fa2-38f6061a04ae,import,2023-01-12,import,2023-01-12
1963401,32,Государственная служба исполнения наказаний при Правительстве Кыргызской Республики,,,true,1,504a21ce-396b-4ff3-9754-49fe32a6cd16,import,2023-01-12,import,2023-01-12
1963425,32120,Государственная служба исполнения наказаний при Правительстве Кыргызской Республики ,,1963401,true,1,9f229d9b-f381-41f0-a6cb-8c2cd858d058,import,2023-01-12,import,2023-01-12
1963426,32320,Департамент по охране и конвоированию при Государственной службе исполнения наказаний при Правительстве Кыргызской Республики,,1963401,true,1,044d961f-dd6c-453d-93ae-e2043652ceda,import,2023-01-12,import,2023-01-12
96823,33,Министерство внутренних дел Кыргызской Республики,,,true,1,46d3c351-d5c2-4931-920c-59ef4cd98ab5,import,2023-01-12,import,2023-01-12
96824,33110,Министерство внутренних дел Кыргызской Республики (аппарат),,96823,true,1,bd588c0a-cbc6-486f-9bae-5b77c5763dbb,import,2023-01-12,import,2023-01-12
96825,33120,Министерство внутренних дел Кыргызской Республики (подведомственные учреждения),,96823,true,1,2013065a-caa9-4e23-8d91-ab7e94b76692,import,2023-01-12,import,2023-01-12
96826,33130,Главное управление по обеспечению безопасности дорожного движения Министерства внутренних дел Кыргызской Республики,,96823,true,1,01911306-5f04-4a1f-82c5-654e83ec029d,import,2023-01-12,import,2023-01-12
96827,33220,Внутренние войска Министерства внутренних дел Кыргызской Республики,,96823,true,1,1c595c8e-54fc-467a-bbf8-81d67fc9b728,import,2023-01-12,import,2023-01-12
96828,33320,Главное управление государственной специализированной службы охраны Министерства внутренних дел Кыргызской Республики,,96823,true,1,48ae48dc-b392-48e6-9076-d7c441f97044,import,2023-01-12,import,2023-01-12
96829,33420,Академия Министерства внутренних дел Кыргызской Республики,,96823,true,1,615627b9-4bba-4e18-85f6-b095b6fcb6dd,import,2023-01-12,import,2023-01-12
922203,33520,Государственная фельдъегерская служба Министерства внутренних дел Кыргызской Республики,,96823,true,1,e28c32a9-3368-49dc-89b9-cb73168067b7,import,2023-01-12,import,2023-01-12
1226651,33620,Служба по борьбе с незаконным оборотом наркотиков Министерства внутренних дел Кыргызской Республики,,96823,true,1,02127ed1-8573-4b7e-b8d0-f769656ac62a,import,2023-01-12,import,2023-01-12
96830,34,Министерство образования и науки Кыргызской Республики,,,true,1,f314f4dc-94e0-459f-84f9-51aad9fc7dee,import,2023-01-12,import,2023-01-12
96831,34110,Министерство образования и науки Кыргызской Республики (аппарат),,96830,true,1,0ff03c3e-a408-4da5-82a1-cdb81ff916eb,import,2023-01-12,import,2023-01-12
