id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
763027,13332240,"Средства, полученные из республиканского бюджета в качестве компенсации страховых взносов на обязательное медицинское страхование учащихся начальных профессиональных учебных заведений, студентов средних и высших профессиональных учебных заведений до достижения ими возраста 21 года",,94773,true,1,e8b8789c-6dfa-449f-8c47-b1bfaff12f9a,import,2023-01-12,import,2023-01-12
763028,13332250,"Средства, полученные из республиканского бюджета в качестве компенсации страховых взносов на обязательное медицинское страхование безработных граждан, официально зарегистрированных в государственной службе занятости населения",,94773,true,1,29810103-e1b5-47fa-bfc4-ee70628cf961,import,2023-01-12,import,2023-01-12
763029,13332260,"Средства, полученные из республиканского бюджета в качестве компенсации страховых взносов на обязательное медицинское страхование военнослужащих срочной службы, офицеров, прапорщиков, военнослужащих сверхсрочной службы",,94773,true,1,14c5a7aa-d7e9-4edf-b89f-9d731d549f57,import,2023-01-12,import,2023-01-12
94776,13332300,"Средства, полученные из республиканского бюджета для выплаты компенсаций по исполнению решений суда",,94773,true,1,2a5ebc95-0333-4b7d-83f7-64ff38c38c73,import,2023-01-12,import,2023-01-12
94782,13332900,"Прочие средства, полученные из республиканского бюджета",,94773,true,1,22e83e30-2add-420a-b9df-e05723a7a287,import,2023-01-12,import,2023-01-12
94783,1334,Страховые взносы в ФОМС ,,94755,true,1,f16c9f18-a600-48b3-ba76-c9bc3853c457,import,2023-01-12,import,2023-01-12
94784,13341,"Страховые взносы на обязательное медицинское страхование, уплачиваемые плательщиками взносов в соответствии с законодательством  Кыргызской республики ",,94783,true,1,1460abb3-2b05-403b-9af6-fe101d48dd8d,import,2023-01-12,import,2023-01-12
94785,13341100,"Страховые взносы на обязательное медицинское страхование, уплачиваемые работодателями ",,94784,true,1,a9f16e3d-e57b-424b-ab1c-cf9773b41112,import,2023-01-12,import,2023-01-12
94786,13341200,"Страховые взносы на обязательное медицинское страхование, уплачиваемые индивидуальными предпринимателями",,94784,true,1,d0ab4d8c-6768-4456-a302-7245182f8c86,import,2023-01-12,import,2023-01-12
94787,13341300,"Страховые взносы на обязательное медицинское страхование, уплачиваемые крестьянскими (фермерскими хозяйствами) без образования юридического лица",,94784,true,1,ed126d0e-f324-4b35-89ae-19afbebf827f,import,2023-01-12,import,2023-01-12
94788,13341400,"Страховые взносы на обязательное медицинское страхование, уплачиваемые сельскохозяйственными кооперативами",,94784,true,1,1c38d189-9a3c-417d-87fe-064cc50e0e55,import,2023-01-12,import,2023-01-12
94789,13341900,"Страховые взносы на обязательное медицинское страхование, не отнесенные к основным категориям",,94784,true,1,38a74667-74be-43c4-9166-9df6e96bc281,import,2023-01-12,import,2023-01-12
94790,1335,"Средства, полученные из бюджета Социального фонда ",,94755,true,1,7393bbff-f088-409c-a7b0-3d8919e599d8,import,2023-01-12,import,2023-01-12
94791,13351,"Средства, полученные из бюджета Социального фонда",,94790,true,1,b127fb92-d95f-4453-b102-db67d6365596,import,2023-01-12,import,2023-01-12
94792,13351100,"Средства, полученные из бюджета Социального фонда на обязательное медицинское страхование",,94791,true,1,81c06402-cc4c-41ea-954c-28e8d48d1d5d,import,2023-01-12,import,2023-01-12
763008,1336,"Средства, полученные из бюджета Фонда обязательного медицинского страхования",,94755,true,1,8c9e7d80-5c16-44a0-b3ce-a4486864e502,import,2023-01-12,import,2023-01-12
763009,13361,"Средства, полученные из бюджета Фонда обязательного медицинского страхования",,763008,true,1,df9807b8-fc17-45b1-9eeb-f9454c0f7011,import,2023-01-12,import,2023-01-12
763010,13361100,"Средства, полученные из бюджета Фонда обязательного медицинского страхования",,763009,true,1,c0077fef-88ad-4d1c-aab7-5f67a0777722,import,2023-01-12,import,2023-01-12
94793,14,Неналоговые доходы,,94445,true,1,98e9f087-db00-4e26-81ce-6d953faf7dbb,import,2023-01-12,import,2023-01-12
94794,141,Доходы от собственности и проценты,,94793,true,1,ead17f8d-a681-4289-b9b4-708ff6147df8,import,2023-01-12,import,2023-01-12
94795,1411,Проценты,,94794,true,1,ce77353c-3e44-40ab-abdc-af1b6f270745,import,2023-01-12,import,2023-01-12
94796,14111,Проценты по депозитам ,,94795,true,1,f8d549da-4ab2-4fed-924e-151fe0fe0524,import,2023-01-12,import,2023-01-12
94797,14111100,"Проценты по депозитам Правительства Кыргызской Республики, размещенных в Национальном банке КР ",,94796,true,1,f269fd85-6762-4d75-abee-17d3dc300bf7,import,2023-01-12,import,2023-01-12
94798,14111200,"Проценты по депозитам Правительства Кыргызской Республики, размещенных в коммерческих банках КР",,94796,true,1,2748278a-9fcf-42e6-82b7-a92c209986e3,import,2023-01-12,import,2023-01-12
94799,14111300,"Проценты, начисленные по размещению временно свободных денежных средств Социального фонда в ГЦБ, ноты Национальном банке КР, на краткосрочные депозиты",,94796,true,1,3fa308d4-9664-4889-9f31-d4d9f304a10b,import,2023-01-12,import,2023-01-12
94800,14111400,"Проценты, начисленные на остатки денежных средств Социального фонда и ГНПФ на счетах в коммерческих банках",,94796,true,1,636f9f1a-7e10-4119-a456-1d1059258f91,import,2023-01-12,import,2023-01-12
94801,14111500,"Проценты, начисленные по размещению средств  пенсионных накоплений в депозиты, государственные ценные бумаги, облигации кыргызских эмитентов, в ипотечные ценные бумаги",,94796,true,1,f7a11549-e290-43c0-bcdf-fbaf822efce8,import,2023-01-12,import,2023-01-12
94802,14111600,"Проценты по депозитам Правительства Кыргызской Республики, размещенным загранучреждениями КР в коммерческих банках государства пребывания",,94796,true,1,fbf8d6e8-4185-456d-b41d-913052962340,import,2023-01-12,import,2023-01-12
94803,14111700,Проценты за предоставление отсрочки по уплате страховых взносов Социальному фонду,,94796,true,1,c628b894-1980-441a-b94b-0f57705aa34c,import,2023-01-12,import,2023-01-12
94804,14112,Проценты по выданным бюджетным ссудам и кредитам,,94795,true,1,2d9c67eb-aadb-4b04-8d1f-2787ae532540,import,2023-01-12,import,2023-01-12
94805,14112100,Проценты по выданным бюджетным ссудам и кредитам,,94804,true,1,601fc230-0958-43de-aff9-c6d2c602fda7,import,2023-01-12,import,2023-01-12
94806,14112200,Проценты по выданным бюджетным ссудам и кредитам от других единиц сектора государственного управления,,94804,true,1,0b4c2d4b-b9d9-42e0-a90c-1efa72a7ff42,import,2023-01-12,import,2023-01-12
